test_id,PM2.5,PM10,O3
aotizhongxin_aq#0,54.80834030278171,93.28288404393254,38.65313422549282
aotizhongxin_aq#1,57.017571966832534,93.28288404393254,54.429871797649525
aotizhongxin_aq#2,57.017571966832534,93.28288404393254,72.9538787339367
aotizhongxin_aq#3,57.017571966832534,93.28288404393254,85.86464348918507
aotizhongxin_aq#4,57.017571966832534,93.28288404393254,107.45610372849498
aotizhongxin_aq#5,57.017571966832534,93.28288404393254,135.72983555293916
aotizhongxin_aq#6,57.017571966832534,93.28288404393254,138.89148906806253
aotizhongxin_aq#7,57.017571966832534,92.90387691709859,125.73559118834788
aotizhongxin_aq#8,57.017571966832534,92.90387691709859,125.66338575244485
aotizhongxin_aq#9,57.017571966832534,92.90387691709859,102.54002997810703
aotizhongxin_aq#10,54.80834030278171,92.90387691709859,111.12565814899104
aotizhongxin_aq#11,54.80834030278171,92.90387691709859,102.70084831450735
aotizhongxin_aq#12,54.80834030278171,92.90387691709859,84.31816582090147
aotizhongxin_aq#13,54.80834030278171,92.90387691709859,71.32327613029672
aotizhongxin_aq#14,54.80834030278171,92.90387691709859,69.8269324408032
aotizhongxin_aq#15,54.80834030278171,92.90387691709859,57.84697351869664
aotizhongxin_aq#16,54.80834030278171,92.90387691709859,50.42729924789633
aotizhongxin_aq#17,54.80834030278171,92.90387691709859,49.364446854731995
aotizhongxin_aq#18,54.80834030278171,92.90387691709859,47.624813544246805
aotizhongxin_aq#19,54.80834030278171,92.90387691709859,42.8364326221278
aotizhongxin_aq#20,54.80834030278171,93.6602058552968,42.51058308086232
aotizhongxin_aq#21,54.80834030278171,93.1366404154455,39.18143746206151
aotizhongxin_aq#22,56.11562407823969,93.1366404154455,37.53542033676833
aotizhongxin_aq#23,57.3759990675852,93.1366404154455,46.82220969378599
aotizhongxin_aq#24,56.56059506452228,93.39418762424444,47.23140492452826
aotizhongxin_aq#25,56.56059506452228,93.39418762424444,57.07815256807223
aotizhongxin_aq#26,56.56059506452228,93.39418762424444,74.37652758410371
aotizhongxin_aq#27,56.56059506452228,93.39418762424444,85.49360425024126
